connection_count,destination_server_reset_error_rate,destination_host_count,reset_error_rate,destination_different_server_rate,destination_server_syn_error_rate,destination_server_different_host_rate,server_syn_error_rate,destination_reset_error_rate,server_request_count,destination_host_server_count,destination_same_server_rate,different_server_rate,destination_same_source_port_rate,same_server_rate,fragment_errors,server_different_host_rate,protocol_udp,connection_status_RSTO,connection_status_RSTR,connection_status_S0,connection_status_S1,service_type_IRC,service_type_Z39_50,service_type_bgp,service_type_courier,service_type_ctf,service_type_daytime,service_type_discard,service_type_domain,service_type_eco_i,service_type_ecr_i,service_type_efs,service_type_exec,service_type_ftp_data,service_type_gopher,service_type_http_443,service_type_imap4,service_type_iso_tsap,service_type_klogin,service_type_ldap,service_type_link,service_type_login,service_type_mtp,service_type_name,service_type_netbios_ssn,service_type_netstat,service_type_nnsp,service_type_nntp,service_type_other,service_type_private,service_type_smtp,service_type_ssh,service_type_sunrpc,service_type_supdup,service_type_systat,service_type_telnet,service_type_urp_i,service_type_uucp,service_type_uucp_path,service_type_vmnet,class
13,0.0,255,0.0,0.08,1.0,0.0,1.0,0.0,3,3,0.01,0.23,0.0,0.23,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
511,1.0,255,0.56,1.0,0.0,0.0,0.0,0.65,1,1,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anomaly
6,0.0,111,0.33,0.08,0.0,0.0,0.0,0.02,1,1,0.01,1.0,0.01,0.17,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1,0.0,1,0.0,0.0,0.0,0.26,0.0,0.0,2,77,1.0,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
40,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,20,20,0.08,0.05,0.0,0.5,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
249,1.0,255,1.0,0.08,0.0,0.0,0.0,1.0,16,16,0.06,0.06,0.0,0.06,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
60,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,1,21,0.08,0.1,0.0,0.02,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
146,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,25,25,0.1,0.05,0.0,0.17,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
511,0.0,255,0.0,0.01,0.0,0.0,0.0,0.01,511,244,0.96,0.0,0.96,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
211,0.0,255,0.0,0.08,1.0,0.0,1.0,0.0,3,9,0.04,0.07,0.0,0.01,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
118,1.0,255,1.0,0.08,0.0,0.0,0.0,1.0,5,5,0.02,0.07,0.0,0.04,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
5,0.0,255,0.0,0.21,0.0,0.0,0.0,0.0,5,5,0.02,0.0,1.0,1.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
511,0.0,255,0.0,0.02,0.0,0.0,0.0,0.0,511,174,0.68,0.0,0.68,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
148,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,24,24,0.09,0.05,0.0,0.16,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
239,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,6,6,0.02,0.06,0.0,0.03,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
120,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,18,18,0.07,0.06,0.0,0.15,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
239,0.0,255,0.0,0.09,1.0,0.0,1.0,0.0,12,4,0.02,0.06,0.0,0.05,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
129,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,129,255,1.0,0.0,1.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
113,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,1,1,0.0,0.06,0.0,0.01,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
221,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,3,3,0.01,0.07,0.0,0.01,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
179,1.0,255,1.0,0.08,0.0,0.0,0.0,1.0,7,7,0.03,0.07,0.0,0.04,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,anomaly
1,0.0,1,0.0,0.0,0.0,0.51,0.0,0.0,20,83,1.0,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
176,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,3,12,0.05,0.07,0.0,0.02,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
205,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,20,8,0.03,0.05,0.0,0.1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
108,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,15,15,0.06,0.05,0.0,0.14,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
108,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,16,11,0.04,0.06,0.0,0.15,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
264,1.0,255,1.0,0.06,0.0,0.0,0.0,1.0,13,13,0.05,0.06,0.0,0.05,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
287,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,24,24,0.09,0.05,0.0,0.08,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
511,0.0,255,0.0,0.04,0.0,0.0,0.0,0.02,511,53,0.21,0.0,0.21,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1,0.0,1,0.0,0.0,0.0,0.5,0.0,0.0,16,231,1.0,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
223,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,17,17,0.07,0.06,0.0,0.08,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1,1.0,255,1.0,0.54,0.0,0.0,0.0,0.49,1,1,0.0,0.0,0.49,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
246,1.0,255,1.0,0.08,0.0,0.0,0.0,1.0,1,1,0.0,0.07,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,anomaly
205,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,5,11,0.04,0.06,0.0,0.02,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
85,1.0,210,0.92,0.44,0.0,0.0,0.0,0.39,1,1,0.0,1.0,0.0,0.01,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
1,0.0,3,0.0,0.0,0.0,0.25,0.0,0.0,17,95,1.0,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1,0.0,4,0.0,0.0,0.0,0.25,0.0,0.0,44,212,1.0,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
47,0.0,255,0.0,0.09,1.0,0.0,1.0,0.0,10,19,0.07,0.13,0.0,0.21,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
213,1.0,255,1.0,0.09,0.0,0.0,0.0,1.0,1,1,0.0,0.07,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
252,1.0,255,1.0,0.07,0.0,0.0,0.0,1.0,2,2,0.01,0.06,0.0,0.01,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
133,0.0,255,0.0,0.87,0.0,0.0,0.0,0.78,33,33,0.13,0.05,0.13,0.25,3,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
270,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,1,1,0.0,0.06,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
509,1.0,255,0.92,1.0,0.0,0.0,0.0,0.93,1,1,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anomaly
141,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,10,10,0.04,0.06,0.0,0.07,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
4,0.06,18,0.0,0.0,0.0,0.0,0.0,0.06,4,18,1.0,0.0,0.06,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
227,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,15,16,0.06,0.06,0.0,0.07,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anomaly
240,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,9,9,0.04,0.06,0.0,0.04,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
3,0.02,255,0.33,0.0,0.0,0.0,0.0,0.02,3,255,1.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
204,1.0,255,1.0,0.08,0.0,0.0,0.0,1.0,2,2,0.01,0.07,0.0,0.01,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anomaly
147,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,19,19,0.07,0.07,0.0,0.13,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1,51,1.0,0.0,1.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
263,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,5,5,0.02,0.06,0.0,0.02,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
111,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,15,15,0.06,0.05,0.0,0.14,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
76,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,16,36,0.14,0.05,0.01,0.21,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1,0.0,4,0.0,0.0,0.0,0.25,0.0,0.0,1,208,1.0,0.0,1.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
101,0.0,255,0.0,0.02,0.0,0.0,0.0,0.0,101,101,0.4,0.0,0.4,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1,1.0,255,1.0,0.67,0.0,0.0,0.0,0.67,1,1,0.0,0.0,0.66,1.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
131,0.0,186,0.0,0.06,1.0,0.0,1.0,0.0,11,11,0.06,0.06,0.01,0.08,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
300,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,6,2,0.01,0.06,0.0,0.02,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
50,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,12,47,0.18,0.08,0.01,0.24,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anomaly
298,0.0,255,0.0,0.09,1.0,0.0,1.0,0.0,6,1,0.0,0.06,0.01,0.02,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
48,0.0,255,0.0,0.06,0.0,0.0,0.0,0.0,21,87,0.34,0.08,1.0,0.44,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
114,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,8,8,0.03,0.07,0.0,0.07,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
1,0.0,1,0.0,0.0,0.0,0.5,0.0,0.0,32,255,1.0,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
113,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,11,11,0.04,0.05,0.0,0.1,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
115,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,12,13,0.05,0.06,0.0,0.1,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
289,0.0,255,0.0,0.08,1.0,0.0,1.0,0.0,11,6,0.02,0.06,0.0,0.04,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
202,1.0,255,1.0,0.08,0.0,0.0,0.0,1.0,2,2,0.01,0.06,0.0,0.01,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,anomaly
130,0.0,255,0.0,0.08,1.0,0.0,1.0,0.0,1,1,0.0,0.08,0.0,0.01,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
203,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,13,16,0.06,0.06,0.0,0.06,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
3,0.32,34,0.0,0.0,0.0,0.0,0.0,0.32,3,34,1.0,0.0,0.03,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
262,1.0,255,1.0,0.07,0.0,0.0,0.0,1.0,2,2,0.01,0.06,0.0,0.01,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
110,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,10,30,0.12,0.06,0.0,0.09,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
273,0.0,255,0.0,0.05,1.0,0.0,1.0,0.0,23,23,0.09,0.05,0.0,0.08,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
94,0.0,148,0.0,0.07,1.0,0.0,1.0,0.0,11,11,0.07,0.06,0.01,0.12,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
