destination_different_server_rate,destination_server_reset_error_rate,different_server_rate,destination_host_count,reset_error_rate,destination_host_server_count,same_server_rate,server_syn_error_rate,destination_same_source_port_rate,destination_same_server_rate,fragment_errors,destination_reset_error_rate,destination_server_different_host_rate,server_different_host_rate,destination_server_syn_error_rate,server_request_count,connection_count,service_type_IRC,service_type_Z39_50,service_type_bgp,service_type_courier,service_type_ctf,service_type_daytime,service_type_discard,service_type_domain,service_type_eco_i,service_type_ecr_i,service_type_efs,service_type_exec,service_type_ftp_data,service_type_gopher,service_type_http_443,service_type_imap4,service_type_iso_tsap,service_type_klogin,service_type_ldap,service_type_link,service_type_login,service_type_mtp,service_type_name,service_type_netbios_ssn,service_type_netstat,service_type_nnsp,service_type_nntp,service_type_other,service_type_private,service_type_smtp,service_type_ssh,service_type_sunrpc,service_type_supdup,service_type_systat,service_type_telnet,service_type_urp_i,service_type_uucp,service_type_uucp_path,service_type_vmnet,connection_status_RSTO,connection_status_RSTR,connection_status_S0,connection_status_S1,protocol_udp,class
0.08,0.0,0.23,255,0.0,3,0.23,1.0,0.0,0.01,0,0.0,0.0,0.0,1.0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
1.0,1.0,1.0,255,0.56,1,0.0,0.0,0.0,0.0,0,0.65,0.0,0.0,0.0,1,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.08,0.0,1.0,111,0.33,1,0.17,0.0,0.01,0.01,0,0.02,0.0,0.0,0.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.0,0.0,0.0,1,0.0,77,1.0,0.0,1.0,1.0,0,0.0,0.26,1.0,0.0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.07,0.0,0.05,255,0.0,20,0.5,1.0,0.0,0.08,0,0.0,0.0,0.0,1.0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.08,1.0,0.06,255,1.0,16,0.06,0.0,0.0,0.06,0,1.0,0.0,0.0,0.0,16,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anomaly
0.05,0.0,0.1,255,0.0,21,0.02,1.0,0.0,0.08,0,0.0,0.0,0.0,1.0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.05,0.0,0.05,255,0.0,25,0.17,1.0,0.0,0.1,0,0.0,0.0,0.0,1.0,25,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.01,0.0,0.0,255,0.0,244,1.0,0.0,0.96,0.96,0,0.01,0.0,0.0,0.0,511,511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.08,0.0,0.07,255,0.0,9,0.01,1.0,0.0,0.04,0,0.0,0.0,0.0,1.0,3,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.08,1.0,0.07,255,1.0,5,0.04,0.0,0.0,0.02,0,1.0,0.0,0.0,0.0,5,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.21,0.0,0.0,255,0.0,5,1.0,0.0,1.0,0.02,0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,anomaly
0.02,0.0,0.0,255,0.0,174,1.0,0.0,0.68,0.68,0,0.0,0.0,0.0,0.0,511,511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.05,0.0,0.05,255,0.0,24,0.16,1.0,0.0,0.09,0,0.0,0.0,0.0,1.0,24,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.05,0.0,0.06,255,0.0,6,0.03,1.0,0.0,0.02,0,0.0,0.0,0.0,1.0,6,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.05,0.0,0.06,255,0.0,18,0.15,1.0,0.0,0.07,0,0.0,0.0,0.0,1.0,18,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.09,0.0,0.06,255,0.0,4,0.05,1.0,0.0,0.02,0,0.0,0.0,0.0,1.0,12,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.0,0.0,0.0,255,0.0,255,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,129,129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.06,0.0,0.06,255,0.0,1,0.01,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.06,0.0,0.07,255,0.0,3,0.01,1.0,0.0,0.01,0,0.0,0.0,0.0,1.0,3,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.08,1.0,0.07,255,1.0,7,0.04,0.0,0.0,0.03,0,1.0,0.0,0.0,0.0,7,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,anomaly
0.0,0.0,0.0,1,0.0,83,1.0,0.0,1.0,1.0,0,0.0,0.51,1.0,0.0,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.06,0.0,0.07,255,0.0,12,0.02,1.0,0.0,0.05,0,0.0,0.0,0.0,1.0,3,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.07,0.0,0.05,255,0.0,8,0.1,1.0,0.0,0.03,0,0.0,0.0,0.0,1.0,20,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.05,0.0,0.05,255,0.0,15,0.14,1.0,0.0,0.06,0,0.0,0.0,0.0,1.0,15,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.07,0.0,0.06,255,0.0,11,0.15,1.0,0.0,0.04,0,0.0,0.0,0.0,1.0,16,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.06,1.0,0.06,255,1.0,13,0.05,0.0,0.0,0.05,0,1.0,0.0,0.0,0.0,13,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anomaly
0.05,0.0,0.05,255,0.0,24,0.08,1.0,0.0,0.09,0,0.0,0.0,0.0,1.0,24,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.04,0.0,0.0,255,0.0,53,1.0,0.0,0.21,0.21,0,0.02,0.0,0.0,0.0,511,511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.0,0.0,0.0,1,0.0,231,1.0,0.0,1.0,1.0,0,0.0,0.5,1.0,0.0,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.06,0.0,0.06,255,0.0,17,0.08,1.0,0.0,0.07,0,0.0,0.0,0.0,1.0,17,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.54,1.0,0.0,255,1.0,1,1.0,0.0,0.49,0.0,0,0.49,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.08,1.0,0.07,255,1.0,1,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anomaly
0.06,0.0,0.06,255,0.0,11,0.02,1.0,0.0,0.04,0,0.0,0.0,0.0,1.0,5,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.44,1.0,1.0,210,0.92,1,0.01,0.0,0.0,0.0,0,0.39,0.0,0.0,0.0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.0,0.0,0.0,3,0.0,95,1.0,0.0,1.0,1.0,0,0.0,0.25,1.0,0.0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.0,0.0,0.0,4,0.0,212,1.0,0.0,1.0,1.0,0,0.0,0.25,1.0,0.0,44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.09,0.0,0.13,255,0.0,19,0.21,1.0,0.0,0.07,0,0.0,0.0,0.0,1.0,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.09,1.0,0.07,255,1.0,1,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.07,1.0,0.06,255,1.0,2,0.01,0.0,0.0,0.01,0,1.0,0.0,0.0,0.0,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anomaly
0.87,0.0,0.05,255,0.0,33,0.25,0.0,0.13,0.13,3,0.78,0.0,0.0,0.0,33,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,anomaly
0.07,0.0,0.06,255,0.0,1,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
1.0,1.0,1.0,255,0.92,1,0.0,0.0,0.0,0.0,0,0.93,0.0,0.0,0.0,1,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.07,0.0,0.06,255,0.0,10,0.07,1.0,0.0,0.04,0,0.0,0.0,0.0,1.0,10,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.0,0.06,0.0,18,0.0,18,1.0,0.0,0.06,1.0,0,0.06,0.0,0.0,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.07,0.0,0.06,255,0.0,16,0.07,1.0,0.0,0.06,0,0.0,0.0,0.0,1.0,15,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,anomaly
0.06,0.0,0.06,255,0.0,9,0.04,1.0,0.0,0.04,0,0.0,0.0,0.0,1.0,9,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.0,0.02,0.0,255,0.33,255,1.0,0.0,0.0,1.0,0,0.02,0.0,0.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.08,1.0,0.07,255,1.0,2,0.01,0.0,0.0,0.01,0,1.0,0.0,0.0,0.0,2,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
0.07,0.0,0.07,255,0.0,19,0.13,1.0,0.0,0.07,0,0.0,0.0,0.0,1.0,19,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.0,0.0,0.0,1,0.0,51,1.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.07,0.0,0.06,255,0.0,5,0.02,1.0,0.0,0.02,0,0.0,0.0,0.0,1.0,5,263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.06,0.0,0.05,255,0.0,15,0.14,1.0,0.0,0.06,0,0.0,0.0,0.0,1.0,15,111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.06,0.0,0.05,255,0.0,36,0.21,1.0,0.01,0.14,0,0.0,0.0,0.0,1.0,16,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.0,0.0,0.0,4,0.0,208,1.0,0.0,1.0,1.0,0,0.0,0.25,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.02,0.0,0.0,255,0.0,101,1.0,0.0,0.4,0.4,0,0.0,0.0,0.0,0.0,101,101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.67,1.0,0.0,255,1.0,1,1.0,0.0,0.66,0.0,0,0.67,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,anomaly
0.06,0.0,0.06,186,0.0,11,0.08,1.0,0.01,0.06,0,0.0,0.0,0.0,1.0,11,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.07,0.0,0.06,255,0.0,2,0.02,1.0,0.0,0.01,0,0.0,0.0,0.0,1.0,6,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.05,0.0,0.08,255,0.0,47,0.24,1.0,0.01,0.18,0,0.0,0.0,0.0,1.0,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,anomaly
0.09,0.0,0.06,255,0.0,1,0.02,1.0,0.01,0.0,0,0.0,0.0,0.0,1.0,6,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.06,0.0,0.08,255,0.0,87,0.44,0.0,1.0,0.34,0,0.0,0.0,0.0,0.0,21,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,anomaly
0.07,0.0,0.07,255,0.0,8,0.07,1.0,0.0,0.03,0,0.0,0.0,0.0,1.0,8,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.0,0.0,0.0,1,0.0,255,1.0,0.0,1.0,1.0,0,0.0,0.5,1.0,0.0,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.05,0.0,0.05,255,0.0,11,0.1,1.0,0.0,0.04,0,0.0,0.0,0.0,1.0,11,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.07,0.0,0.06,255,0.0,13,0.1,1.0,0.0,0.05,0,0.0,0.0,0.0,1.0,12,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.08,0.0,0.06,255,0.0,6,0.04,1.0,0.0,0.02,0,0.0,0.0,0.0,1.0,11,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.08,1.0,0.06,255,1.0,2,0.01,0.0,0.0,0.01,0,1.0,0.0,0.0,0.0,2,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.08,0.0,0.08,255,0.0,1,0.01,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.07,0.0,0.06,255,0.0,16,0.06,1.0,0.0,0.06,0,0.0,0.0,0.0,1.0,13,203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.0,0.32,0.0,34,0.0,34,1.0,0.0,0.03,1.0,0,0.32,0.0,0.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.07,1.0,0.06,255,1.0,2,0.01,0.0,0.0,0.01,0,1.0,0.0,0.0,0.0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
0.06,0.0,0.06,255,0.0,30,0.09,1.0,0.0,0.12,0,0.0,0.0,0.0,1.0,10,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.05,0.0,0.05,255,0.0,23,0.08,1.0,0.0,0.09,0,0.0,0.0,0.0,1.0,23,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
0.07,0.0,0.06,148,0.0,11,0.12,1.0,0.01,0.07,0,0.0,0.0,0.0,1.0,11,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anomaly
